ccaa,prov,prov2,id_prov,id_color,id_iframe_casas,id_iframe_piscinas,id_iframe_restricciones,id_iframe_reformar,id_iframe_2515,id_iframe_2508,id_iframe_cincoanos,casas_tasac_2025,casas_tasac_2010,casas_tasac_1995,valor_tasac_2025,valor_tasac_1995,mascinco_2025,casas_noviembre_2025,valor_noviembre_2025,casas_noviembre_2015,valor_noviembre_2015,casas_noviembre_2008,valor_noviembre_2008,media_2025,casas_muestra,valor_muestra,casas_piscina,valor_piscina,casas_restriccion,valor_restriccion,casas_reformar,valor_reformar
Castilla y León,Palencia,Palencia,palencia,#2F70B3,sbIkd,HOHgM,g3s0P,ovDu2,RIq2A,joaqH,SnKZE,"3,33367212","2,508466073","3,306025157","983,90","545,38","3,35","2,789115646",117600,"2,718405428",117900,"2,423263328",123800,"3,25074331","3,25074331",100900,"2,369942197",138400,"2,842287695",115400,"6,368932039",51500
Canarias,Las Palmas,"Palmas, Las",palmaslas,#EB993D,s2TrR,iPAM2,ETXeB,sHxlI,fm0U0,BYSjE,7JZoX,"1,62819558","1,855230203","3,001315023","2014,50","600,75","1,63","1,148057403",285700,"2,384672619",134400,"1,644736842",182400,"1,027247103","1,027247103",319300,"0,7658183516",428300,"1,627791563",201500,"1,810154525",181200
Galicia,Pontevedra,Pontevedra,pontevedra,#56B070,5eDaF,lJiBn,5yCUD,RHpwB,P0yNr,HXvnT,jj9Dr,"2,03079628","1,885985868","3,06822088","1615,13","587,65","2,04","1,816168328",180600,"2,133821571",150200,"1,666666667",180000,"1,712793734","1,712793734",191500,"1,457130164",225100,"2,712985939",120900,"2,813036021",116600
"Rioja, La",La Rioja,"Rioja, La",riojala,#56B070,RM6EW,nq8uE,xft9Q,sOLKN,0oDBe,k8mK5,kQs8R,"2,47696723","2,006313199","2,988728285","1324,20","603,28","2,53","2,26363009",144900,"2,81882146",113700,"1,976284585",151800,"2,394160584","2,394160584",137000,"1,668362157",196600,"2,64516129",124000,"5,061728395",64800
Castilla y León,Salamanca,Salamanca,salamanca,#56B070,pLQkE,xJwgB,pTARR,uq4s7,ibqoV,h56Yo,fVoHM,"2,49454319","2,082248829","2,818218763","1314,87","639,78","2,50","2,131254061",153900,"2,377596439",134800,"1,865671642",160800,"2,347888332","2,347888332",139700,"2,484848485",132000,"1,860465116",176300,"5,165354331",63500
Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,santacruztenerife,#EB993D,BvCn0,JZuhy,7PtFm,33Qtv,9JfLz,fAL8t,LNqsg,"1,63479318","1,985702939","3,082752018","2006,37","584,88","1,64","0,9933373713",330200,"2,5019516",128100,"1,865671642",160800,"0,8888888889","0,8888888889",369000,"0,7056798623",464800,"1,354252684",242200,"1,563393708",209800
Castilla y León,Segovia,Segovia,segovia,#56B070,maJ6A,GEhfd,aGh3E,mRD31,43iVj,1ALbA,Z0DaN,"2,52910787","2,123367661","2,844001388","1296,90","633,98","2,54","2,23890785",146500,"2,889990983",110900,"1,997336884",150200,"2,542635659","2,542635659",129000,"2,484848485",132000,"2,308233638",142100,"5,281803543",62100
Andalucía,Sevilla,Sevilla,sevilla,#EB993D,lFaXd,ToHrW,GDDqc,qXgKy,ejfZT,IP0I1,FvHxs,"1,96313143","1,820520912","3,585998409","1670,80","502,80","1,98","1,797260274",182500,"2,329215116",137600,"1,60944206",186400,"1,689850592","1,689850592",194100,"1,533426835",213900,"2,692939245",121800,"2,243502052",146200
Castilla y León,Soria,Soria,soria,#2F70B3,lAyFd,04pfA,KvS7E,TFMgp,aWoT3,YxBUl,dammC,"3,20071821","2,209944751","2,510918004","1024,77","718,08","3,26","2,767932489",118500,"2,953917051",108500,"2,506265664",119700,"3,93757503","3,93757503",83300,"1,840628507",178200,"2,742474916",119600,"11,97080292",27400
Cataluña,Tarragona,Tarragona,tarragona,#56B070,O4kBG,2qYny,Tnm7m,d8r10,N0ef7,qiT1G,Q48FV,"2,03263369","1,720844591","3,624201005","1613,67","497,50","2,04","1,852060982",177100,"2,586763519",123900,"1,557632399",192600,"1,759656652","1,759656652",186400,"1,363825364",240500,"2,872154116",114200,"3,257199603",100700
Aragón,Teruel,Teruel,teruel,#2F70B3,rlSCt,ugOwT,yYnox,XMd3P,QaNgO,mn3XT,7wEWE,"3,56328083","3,019840351","4,022577694","920,50","448,23","3,61","3,561346363",92100,"3,601123596",89000,"2,84629981",105400,"4,880952381","4,880952381",67200,"2,009803922",163200,"5,125",64000,"9,162011173",35800
Castilla-La Mancha,Toledo,Toledo,toledo,#2F70B3,bXg0R,2YupE,t5lNe,JOjvU,gLh9W,Evoj7,jKLNS,"3,05334984","2,473451619","3,838705557","1074,23","469,70","3,06","3,071161049",106800,"4,041614124",79300,"2,302379125",130300,"3,100189036","3,100189036",105800,"2,231292517",147000,"3,770114943",87000,"5,264847512",62300
Comunitat Valenciana,Valencia,Valencia/València,valenciavalencia,#EB993D,YCD57,VhzbX,xMO4G,jhG80,gXqwE,w90BQ,N76XW,"1,94209249","2,112780207","3,861478166","1688,90","466,93","1,95","1,703011423",192600,"2,897830018",110600,"1,751313485",171300,"1,547899953","1,547899953",211900,"1,330628803",246500,"2,134027326",153700,"2,517267843",130300
Castilla y León,Valladolid,Valladolid,valladolid,#56B070,AVLGp,5MoOe,p3qHT,DJTQ5,cDiX6,UUNlV,SosNX,"2,28464759","1,982291529","2,687895051","1435,67","670,80","2,30","2,167878387",151300,"2,607811229",122900,"1,897533207",158100,"2,118863049","2,118863049",154800,"1,761546724",186200,"2,344531808",139900,"3,660714286",89600
Castilla y León,Zamora,Zamora,zamora,#2F70B3,NOvmo,Xdrux,Ps8Hu,g58zI,sDGw6,uRKfj,1P0oX,"3,73393441","2,726529128","3,575686663","878,43","504,25","3,74","3,346938776",98000,"2,978624535",107600,"2,772643253",108200,"4,432432432","4,432432432",74000,"2,789115646",117600,"4,226804124",77600,"9,060773481",36200
Aragón,Zaragoza,Zaragoza,zaragoza,#EB993D,tQwae,a0B0x,ehmqm,z8Oq6,3jXuZ,6a0gL,0OQR2,"1,93066102","1,660964024","2,873691089","1698,90","627,43","1,94","1,965248652",166900,"2,519654088",127200,"1,567398119",191400,"2,210242588","2,210242588",148400,"1,471511889",222900,"2,399414777",136700,"4,178343949",78500
NACIONAL,España,,nacional,#EB993D,upWQL,,,,7tpB4,YhFNh,,"1,56680663","1,627780792","2,63988287",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
