ccaa,prov,prov2,id_prov,id_color,id_iframe_casas,id_iframe_piscinas,id_iframe_restricciones,id_iframe_reformar,id_iframe_2515,id_iframe_2508,id_iframe_cincoanos,casas_tasac_2025,casas_tasac_2010,casas_tasac_1995,valor_tasac_2025,valor_tasac_1995,mascinco_2025,casas_noviembre_2025,valor_noviembre_2025,casas_noviembre_2015,valor_noviembre_2015,casas_noviembre_2008,valor_noviembre_2008,media_2025,casas_muestra,valor_muestra,casas_piscina,valor_piscina,casas_restriccion,valor_restriccion,casas_reformar,valor_reformar
Galicia,Pontevedra,Pontevedra,pontevedra,#56B070,5eDaF,lJiBn,5yCUD,RHpwB,P0yNr,HXvnT,jj9Dr,"2,03079628","1,885985868","3,06822088","2,03079628","3,06822088","2,04","1,816168328",180600,"2,133821571",150200,"1,666666667",180000,"1,712793734","1,712793734",1.915,"1,457130164",2.251,"2,712985939",1.209,"2,813036021",1.166
"Rioja, La","Rioja, La","Rioja, La",riojala,#56B070,RM6EW,nq8uE,xft9Q,sOLKN,0oDBe,k8mK5,kQs8R,"2,47696723","2,006313199","2,988728285","2,47696723","2,988728285","2,53","2,26363009",144900,"2,81882146",113700,"1,976284585",151800,"2,394160584","2,394160584",1.370,"1,668362157",1.966,"2,64516129",1.240,"5,061728395",648
Castilla y León,Salamanca,Salamanca,salamanca,#56B070,pLQkE,xJwgB,pTARR,uq4s7,ibqoV,h56Yo,fVoHM,"2,49454319","2,082248829","2,818218763","2,49454319","2,818218763","2,50","2,131254061",153900,"2,377596439",134800,"1,865671642",160800,"2,347888332","2,347888332",1.397,"2,484848485",1.320,"1,860465116",1.763,"5,165354331",635
Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,santacruztenerife,#EB993D,BvCn0,JZuhy,7PtFm,33Qtv,9JfLz,fAL8t,LNqsg,"1,63479318","1,985702939","3,082752018","1,63479318","3,082752018","1,64","0,9933373713",330200,"2,5019516",128100,"1,865671642",160800,"0,8888888889","0,8888888889",3.690,"0,7056798623",4.648,"1,354252684",2.422,"1,563393708",2.098
Castilla y León,Segovia,Segovia,segovia,#56B070,maJ6A,GEhfd,aGh3E,mRD31,43iVj,1ALbA,Z0DaN,"2,52910787","2,123367661","2,844001388","2,52910787","2,844001388","2,54","2,23890785",146500,"2,889990983",110900,"1,997336884",150200,"2,542635659","2,542635659",1.290,"2,484848485",1.320,"2,308233638",1.421,"5,281803543",621
Andalucía,Sevilla,Sevilla,sevilla,#EB993D,lFaXd,ToHrW,GDDqc,qXgKy,ejfZT,IP0I1,FvHxs,"1,96313143","1,820520912","3,585998409","1,96313143","3,585998409","1,98","1,797260274",182500,"2,329215116",137600,"1,60944206",186400,"1,689850592","1,689850592",1.941,"1,533426835",2.139,"2,692939245",1.218,"2,243502052",1.462
Castilla y León,Soria,Soria,soria,#2F70B3,lAyFd,04pfA,KvS7E,TFMgp,aWoT3,YxBUl,dammC,"3,20071821","2,209944751","2,510918004","3,20071821","2,510918004","3,26","2,767932489",118500,"2,953917051",108500,"2,506265664",119700,"3,93757503","3,93757503",833,"1,840628507",1.782,"2,742474916",1.196,"11,97080292",274
Cataluña,Tarragona,Tarragona,tarragona,#56B070,O4kBG,2qYny,Tnm7m,d8r10,N0ef7,qiT1G,Q48FV,"2,03263369","1,720844591","3,624201005","2,03263369","3,624201005","2,04","1,852060982",177100,"2,586763519",123900,"1,557632399",192600,"1,759656652","1,759656652",1.864,"1,363825364",2.405,"2,872154116",1.142,"3,257199603",1.007
Aragón,Teruel,Teruel,teruel,#2F70B3,rlSCt,ugOwT,yYnox,XMd3P,QaNgO,mn3XT,7wEWE,"3,56328083","3,019840351","4,022577694","3,56328083","4,022577694","3,61","3,561346363",92100,"3,601123596",89000,"2,84629981",105400,"4,880952381","4,880952381",672,"2,009803922",1.632,"5,125",640,"9,162011173",358
Castilla-La Mancha,Toledo,Toledo,toledo,#2F70B3,bXg0R,2YupE,t5lNe,JOjvU,gLh9W,Evoj7,jKLNS,"3,05334984","2,473451619","3,838705557","3,05334984","3,838705557","3,06","3,071161049",106800,"4,041614124",79300,"2,302379125",130300,"3,100189036","3,100189036",1.058,"2,231292517",1.470,"3,770114943",870 ,"5,264847512",623
Comunitat Valenciana,Valencia,Valencia/València,valenciavalencia,#EB993D,YCD57,VhzbX,xMO4G,jhG80,gXqwE,w90BQ,N76XW,"1,94209249","2,112780207","3,861478166","1,94209249","3,861478166","1,95","1,703011423",192600,"2,897830018",110600,"1,751313485",171300,"1,547899953","1,547899953",2.119,"1,330628803",2.465,"2,134027326",1.537,"2,517267843",1.303
Castilla y León,Valladolid,Valladolid,valladolid,#56B070,AVLGp,5MoOe,p3qHT,DJTQ5,cDiX6,UUNlV,SosNX,"2,28464759","1,982291529","2,687895051","2,28464759","2,687895051","2,30","2,167878387",151300,"2,607811229",122900,"1,897533207",158100,"2,118863049","2,118863049",1.548,"1,761546724",1.862,"2,344531808",1.399,"3,660714286",896
Castilla y León,Zamora,Zamora,zamora,#2F70B3,NOvmo,Xdrux,Ps8Hu,g58zI,sDGw6,uRKfj,1P0oX,"3,73393441","2,726529128","3,575686663","3,73393441","3,575686663","3,74","3,346938776",98000,"2,978624535",107600,"2,772643253",108200,"4,432432432","4,432432432",740,"2,789115646",1.176,"4,226804124",776 ,"9,060773481",362
Aragón,Zaragoza,Zaragoza,zaragoza,#EB993D,tQwae,a0B0x,ehmqm,z8Oq6,3jXuZ,6a0gL,0OQR2,"1,93066102","1,660964024","2,873691089","1,93066102","2,873691089","1,94","1,965248652",166900,"2,519654088",127200,"1,567398119",191400,"2,210242588","2,210242588",1.484,"1,471511889",2.229,"2,399414777",1.367 ,"4,178343949",785
NACIONAL,España,,nacional,#EB993D,upWQL,,,,7tpB4,YhFNh,,"1,56680663","1,627780792","2,63988287",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
